C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m S_M_250_maxreward -d 0.99 -a 0.5 -e 0.002 --maxreward 250
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 601: -60.80000000000052
episode 602: -63.500000000000526
episode 603: -61.70000000000052
episode 604: -59.90000000000055
episode 605: -61.700000000000536
episode 606: -61.70000000000052
episode 607: -62.600000000000534
episode 608: -59.00000000000049
episode 609: -60.80000000000049
episode 610: -59.90000000000049
episode 611: -63.5000000000005
episode 612: -58.10000000000053
episode 613: -62.60000000000046
episode 614: -57.20000000000049
episode 615: -58.10000000000052
episode 616: -46.9119144943052
episode 617: -54.50000000000046
episode 618: -64.40000000000052
episode 619: -62.60000000000049
episode 620: -59.000000000000504
episode 621: -65.30000000000047
episode 622: -79.70000000000005
episode 623: -60.800000000000566
episode 624: -58.10000000000049
episode 625: -75.1999999999999
episode 626: -62.60000000000049
episode 627: -62.600000000000506
episode 628: -73.40000000000022
episode 629: -59.90000000000052
episode 630: -60.800000000000544
episode 631: -59.90000000000052
episode 632: -63.50000000000055
episode 633: -66.20000000000044
episode 634: -63.50000000000051
episode 635: -63.50000000000055
episode 636: -61.70000000000052
episode 637: -72.5000000000001
episode 638: -66.20000000000043
episode 639: -54.5997855098493
episode 640: -56.30000000000048
episode 641: -57.20000000000047
episode 642: -47.81267894168258
episode 643: -63.50000000000055
episode 644: -59.9000000000005
episode 645: -60.27001938264229
episode 646: -65.30000000000047
episode 647: -60.80000000000049
episode 648: -60.80000000000054
episode 649: -57.20000000000047
episode 650: -56.300000000000495
episode 651: -65.30000000000047
episode 652: -55.40000000000048
episode 653: -56.300000000000495
episode 654: -63.50000000000048
episode 655: -59.00000000000052
episode 656: -34.012198755993865
episode 657: -59.000000000000526
episode 658: -65.30000000000045
episode 659: -66.2000000000004
episode 660: -58.10000000000052
episode 661: -58.100000000000506
episode 662: -60.80000000000055
episode 663: -40.1094343850012
episode 664: -61.70000000000053
episode 665: -77.89999999999964
episode 666: -62.60000000000052
episode 667: -65.30000000000044
episode 668: -64.40000000000052
episode 669: -61.7000000000005
episode 670: -57.20000000000048
episode 671: -63.50000000000055
episode 672: -59.9000000000005
episode 673: -59.00000000000049
episode 674: -59.00000000000048
episode 675: -55.400000000000524
episode 676: -59.000000000000504
episode 677: -67.10000000000038
episode 678: -57.20000000000048
episode 679: -57.20000000000051
episode 680: -56.30000000000051
episode 681: -58.10000000000052
episode 682: -84.19999999999965
episode 683: -61.70000000000052
episode 684: -70.70000000000017
episode 685: -61.700000000000514
episode 686: 555.7512134154402
episode 687: -59.00000000000049
episode 688: -54.5000000000005
episode 689: -64.40000000000042
episode 690: -61.70000000000055
episode 691: -62.600000000000584
episode 692: -60.80000000000049
episode 693: -70.7000000000001
episode 694: -58.10000000000049
episode 695: -65.30000000000042
episode 696: -56.30000000000051
episode 697: -56.30000000000053
episode 698: -59.000000000000526
episode 699: -71.60000000000004
episode 700: -59.000000000000504
episode 701: -61.70000000000052
episode 702: -59.90000000000054
episode 703: -59.00000000000049
episode 704: -59.90000000000051
episode 705: -63.5000000000005
episode 706: -59.000000000000504
episode 707: -63.50000000000052
episode 708: -61.700000000000585
episode 709: -56.30000000000051
episode 710: -44.46531542238002
episode 711: -62.60000000000049
episode 712: -61.70000000000055
episode 713: -69.8000000000002
episode 714: -65.30000000000047
