C:\Users\Naomi\AppData\Local\Programs\Python\Python36\python.exe D:/Naomi/Desktop/Naomi/AI/AI_project/main.py --ee sf --graphs -m softmax_train -d 0.99 -a 0.5 -e 0.002
Loading chipmunk for Windows (64bit) [C:\Users\Naomi\AppData\Local\Programs\Python\Python36\lib\site-packages\pymunk\chipmunk.dll]
no model found
episode 584: -67.10000000000035
episode 585: -56.30000000000048
episode 586: -61.70000000000049
episode 587: -58.1000000000005
episode 588: -57.20000000000048
episode 589: -86.89999999999921
episode 590: -62.600000000000534
episode 591: -70.70000000000005
episode 592: -70.70000000000009
episode 593: -56.30000000000048
episode 594: -53.60000000000048
episode 595: -58.10000000000049
episode 596: -59.000000000000476
episode 597: -50.56904798775426
episode 598: -57.20000000000047
episode 599: -76.09999999999981
episode 600: -61.70000000000055
episode 601: -57.20000000000051
episode 602: -57.20000000000047
episode 603: -69.80000000000014
episode 604: -61.70000000000052
episode 605: -63.50000000000051
episode 606: -59.90000000000049
episode 607: -61.700000000000514
episode 608: -58.1000000000005
episode 609: -59.000000000000504
episode 610: -25.978965290322733
episode 611: -61.70000000000056
episode 612: -66.20000000000033
episode 613: -55.40000000000047
episode 614: -59.900000000000496
episode 615: -66.20000000000036
episode 616: -59.00000000000046
episode 617: -64.40000000000053
episode 618: -59.900000000000496
episode 619: 602.1505210556322
episode 620: -68.00000000000028
episode 621: -59.00000000000052
episode 622: -51.36419002523047
episode 623: -72.50000000000009
episode 624: -58.100000000000506
episode 625: -63.50000000000051
episode 626: -61.700000000000465
episode 627: -50.48090271470425
episode 628: -52.6148951457899
episode 629: -64.40000000000047
episode 630: -59.90000000000051
episode 631: -66.20000000000032
episode 632: -43.551249124287
episode 633: -58.10000000000051
episode 634: -59.90000000000049
episode 635: -65.30000000000052
episode 636: -61.70000000000056
episode 637: -58.10000000000049
episode 638: -66.20000000000041
episode 639: -59.00000000000052
episode 640: -56.300000000000466
episode 641: -62.60000000000055
episode 642: -58.10000000000048
episode 643: -61.700000000000536
episode 644: -56.300000000000495
episode 645: -72.50000000000007
episode 646: -63.500000000000554
episode 647: -71.60000000000004
episode 648: -61.7000000000005
episode 649: -65.30000000000041
episode 650: -63.50000000000055
episode 651: -59.90000000000049
episode 652: -60.8000000000005
episode 653: -51.69628357388095
episode 654: -39.670133858516934
episode 655: -59.00000000000049
episode 656: -63.50000000000057
episode 657: -59.000000000000476
episode 658: -57.20000000000047
episode 659: -70.70000000000013
episode 660: -63.50000000000048
episode 661: -63.50000000000057
episode 662: 118.06701378381837
episode 663: -62.60000000000052
episode 664: -56.043403555085554
episode 665: -60.800000000000495
episode 666: -74.29999999999987
episode 667: -58.10000000000049
episode 668: -64.40000000000053
episode 669: -59.000000000000476
episode 670: -62.60000000000054
episode 671: -59.000000000000504
episode 672: -58.10000000000049
episode 673: -57.805517108155996
episode 674: -59.90000000000052
episode 675: -57.20000000000049
episode 676: -61.70000000000051
episode 677: -57.20000000000053
episode 678: -63.50000000000057
episode 679: -60.8000000000005
episode 680: -61.7000000000005
episode 681: -55.400000000000496
episode 682: -59.90000000000052
episode 683: -64.40000000000052
episode 684: -63.50000000000055
episode 685: -68.90000000000026
episode 686: -59.0000000000005
episode 687: -59.000000000000476
episode 688: -46.39605010646599
episode 689: -59.900000000000496
episode 690: -51.80000000000045
episode 691: -59.00000000000054
episode 692: -54.50000000000047
episode 693: -59.00000000000047
episode 694: -49.03268824007751
episode 695: -69.8000000000001
episode 696: -39.78713348708605
episode 697: -68.90000000000026
episode 698: -65.3000000000004
episode 699: -64.40000000000042
episode 700: -59.9000000000005
episode 701: -54.39347592052549
episode 702: -59.90000000000052
episode 703: -56.30000000000048
episode 704: -64.40000000000049
episode 705: -62.600000000000556
episode 706: -69.80000000000027
episode 707: -55.400000000000475
episode 708: -55.40000000000051
episode 709: -68.90000000000026
episode 710: -68.90000000000016
episode 711: -59.0000000000005
episode 712: -59.00000000000047
episode 713: -65.30000000000048
episode 714: -76.09999999999971
episode 715: -67.10000000000029
episode 716: -71.59999999999997
episode 717: -74.3
episode 718: -59.90000000000053
episode 719: -68.00000000000021
episode 720: -65.30000000000038
episode 721: -61.70000000000057
episode 722: -63.50000000000055
episode 723: -59.900000000000546
episode 724: -56.30000000000047
episode 725: -61.700000000000514
episode 726: -54.5000000000005
episode 727: -63.500000000000554
episode 728: -57.20000000000049
episode 729: -68.90000000000033
episode 730: 284.6217587873149
episode 731: -63.50000000000055
episode 732: -61.70000000000055
episode 733: -57.20000000000051
